timestamp,TimeUS,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14
1731089097.40014100,15799391,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089097.44002199,15839272,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089097.48003507,15879285,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089097.52006793,15919318,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089097.56003404,15959284,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089097.60015988,15999410,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089097.64006901,16039319,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089097.68002105,16079271,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089097.72008204,16119332,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089097.76011705,16159367,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089097.80008698,16199337,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089097.84003305,16239283,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089097.88008595,16279336,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089097.92002606,16319276,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089097.96004891,16359299,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089098.00023293,16399483,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089098.04003596,16439286,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089098.08008003,16479330,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089098.12007403,16519324,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089098.16003108,16559281,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089098.20010900,16599359,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089098.24052286,16639773,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089098.28003192,16679282,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089098.32006907,16719319,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089098.36004400,16759294,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089098.40010500,16799355,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089098.44002485,16839275,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089098.48003101,16879281,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089098.52006197,16919312,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089098.56004286,16959293,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089098.60020494,16999455,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089098.63998008,17039230,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089098.68004394,17079294,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089098.72007394,17119324,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089098.76010299,17159353,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089098.80014300,17199393,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089098.84003687,17239287,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089098.88002801,17279278,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089098.92006993,17319320,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089098.96003294,17359283,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089099.00019097,17399441,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089099.04001594,17439266,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089099.08003402,17479284,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089099.11998105,17519231,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089099.16004205,17559292,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089099.20008206,17599332,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089099.24053407,17639784,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089099.27997208,17679222,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089099.32006192,17719312,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089099.36004400,17759294,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089099.40013409,17799384,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089099.44004107,17839291,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089099.48010087,17879351,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089099.52007198,17919322,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089099.56004286,17959293,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089099.60015798,17999408,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089099.64004707,18039297,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089099.68002987,18079280,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089099.72002101,18119271,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089099.76012206,18159372,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089099.80011797,18199368,1496,1496,1100,1494,0,0,0,0,0,0,0,0,0,0
1731089099.84001589,18239266,1496,1496,1100,1494,0,0,0,0,0,0,0,0,0,0
1731089099.88004494,18279295,1496,1496,1100,1386,0,0,0,0,0,0,0,0,0,0
1731089099.92007303,18319323,1496,1538,1100,1346,0,0,0,0,0,0,0,0,0,0
1731089099.96006608,18359316,1496,1538,1100,1346,0,0,0,0,0,0,0,0,0,0
1731089100.00024486,18399495,1496,1600,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089100.04004192,18439292,1496,1566,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089100.07995987,18479210,1496,1566,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089100.12009192,18519342,1496,1488,1100,1560,0,0,0,0,0,0,0,0,0,0
1731089100.16007090,18559321,1496,1336,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089100.20009708,18599347,1496,1336,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089100.24052906,18639779,1496,1292,1100,1376,0,0,0,0,0,0,0,0,0,0
1731089100.28002596,18679276,1496,1426,1100,1274,0,0,0,0,0,0,0,0,0,0
1731089100.31994700,18719197,1496,1426,1100,1274,0,0,0,0,0,0,0,0,0,0
1731089100.36003304,18759283,1496,1505,1100,1310,0,0,0,0,0,0,0,0,0,0
1731089100.40009189,18799342,1496,1668,1100,1556,0,0,0,0,0,0,0,0,0,0
1731089100.44002295,18839273,1496,1668,1100,1556,0,0,0,0,0,0,0,0,0,0
1731089100.48003101,18879281,1496,1436,1100,1648,0,0,0,0,0,0,0,0,0,0
1731089100.52006888,18919319,1496,1136,1100,1462,0,0,0,0,0,0,0,0,0,0
1731089100.56001687,18959267,1496,1136,1100,1462,0,0,0,0,0,0,0,0,0,0
1731089100.60013890,18999389,1496,1174,1100,1262,0,0,0,0,0,0,0,0,0,0
1731089100.64003301,19039283,1496,1379,1100,1190,0,0,0,0,0,0,0,0,0,0
